,rating
6437,1
34596,0
1082,1
7980,1
23755,0
17830,0
4247,0
29446,0
18920,1
50226,1
17058,1
41205,1
27051,1
8637,1
28601,1
25045,1
2552,0
10040,1
21326,1
36348,0
27946,0
1196,0
46908,0
44281,0
13152,0
15665,0
19636,1
22026,0
12116,0
5566,1
44986,0
28623,1
26924,0
10781,1
46129,0
39110,0
46306,0
15295,1
40484,1
52180,1
30926,0
34924,0
27367,0
22258,0
34758,0
3112,1
39376,0
48098,0
40905,1
12541,1
38536,0
21158,1
14084,1
22619,1
14363,1
16600,0
11306,0
26464,0
25920,0
37702,0
14327,0
21238,1
31342,0
35705,1
50386,1
6026,0
32605,1
1987,1
3676,1
22338,1
15275,0
3361,1
32324,0
16755,1
37408,0
51237,0
28161,1
34477,1
29534,0
26789,0
45183,1
47972,0
38323,0
11701,1
19705,1
1917,1
48110,1
25061,0
36491,1
46182,0
42803,1
39327,0
14706,1
10260,1
12889,0
39936,1
19053,0
50503,0
35778,1
40255,1
48032,0
45171,0
8397,1
47435,0
51425,1
48318,1
19246,0
41559,1
5672,1
46947,0
11449,1
49982,1
14793,1
35653,1
41546,1
13208,1
49925,1
9071,1
18242,1
10323,0
13141,1
5746,0
29249,0
14182,1
19468,0
16206,1
35989,1
46655,1
42530,0
8612,1
10528,1
25650,0
10919,0
50288,0
44011,1
46622,0
9999,1
14735,0
4235,1
46112,0
13156,1
33931,0
38976,1
7542,0
9027,1
41691,1
50265,0
21750,1
19518,0
23901,1
978,1
4374,1
48831,0
39119,0
45522,1
24697,0
32702,1
50468,0
4437,1
25995,0
51086,0
16009,0
47863,1
41270,0
15783,0
13837,0
22413,1
23524,0
43362,1
52332,1
10387,0
25215,1
11995,1
14083,1
3466,0
35008,1
47692,0
25119,1
29600,0
1159,0
10836,0
4814,1
5553,1
41217,1
46732,1
36878,0
28112,0
33907,1
49631,1
48922,0
50851,0
27198,0
45806,1
33265,1
42644,0
48485,0
49862,1
18364,0
41728,0
30586,1
10383,1
1651,0
3175,0
15508,1
32950,0
23407,1
17489,0
50163,1
48521,1
48393,1
2121,1
38689,1
2291,0
24165,0
37942,1
5421,1
34007,0
17575,0
40381,0
40661,1
10929,0
5185,1
35468,1
3313,0
44046,1
38454,1
24313,0
50669,0
50374,0
41367,0
8348,1
48477,0
7479,1
36979,0
20440,1
5311,0
12876,1
19618,1
29666,1
26134,0
4217,1
33644,0
3923,1
33557,0
24104,1
595,1
20170,1
48423,0
4812,0
48175,0
11499,0
48400,0
5364,1
12107,1
5483,0
50357,0
21826,1
36805,0
29463,0
24272,1
29762,1
8975,0
51396,1
17236,1
40082,1
52418,0
27747,1
13897,1
51133,0
50105,0
2939,1
39841,1
39851,1
43964,1
2374,1
6609,1
14114,0
25167,0
37334,1
15454,0
19316,1
22223,1
1577,1
27652,0
7829,0
6998,0
47562,1
11206,0
15185,1
17344,1
2703,0
41907,1
27624,1
48021,1
35752,0
34231,0
20362,0
41016,1
29687,0
46997,0
36137,1
18426,0
151,1
11757,0
50350,1
31175,1
51100,0
22506,0
40131,1
29424,1
34713,1
9091,0
361,0
1178,0
18204,0
9747,0
27194,0
15620,0
44217,1
32285,1
8336,1
32648,0
8511,0
3354,1
25330,1
15997,1
37629,0
45291,1
18596,1
21356,0
26212,1
32688,1
43054,0
52294,0
15764,1
40359,0
43300,0
51569,1
8394,1
4143,0
38665,1
1199,1
30465,0
35207,1
2070,1
29999,0
9893,1
13465,0
46301,1
16425,1
11361,1
23258,1
4833,0
25756,1
49108,1
46158,0
1251,1
17198,1
42959,0
18048,1
37294,1
29508,0
52366,1
14686,0
7812,0
24743,0
25080,0
5042,1
28178,0
42140,0
24691,0
31947,0
21039,1
9934,1
35375,0
34257,0
42638,1
42228,0
51599,1
2981,0
41348,0
25339,0
6989,1
23605,1
2501,1
12133,1
36822,1
33675,1
32440,0
16988,0
2783,1
47065,0
49314,1
9488,1
45697,1
32998,1
14808,0
26770,0
26394,1
31006,1
30333,1
36030,0
46551,0
48166,0
52196,1
38718,1
12827,0
49127,1
19759,1
37255,1
8782,0
1443,1
41694,0
32326,1
14478,1
14125,1
35793,1
27005,1
1254,0
33808,1
9070,0
41267,1
43333,1
6816,1
41920,0
47739,1
264,1
7861,0
14154,0
15558,0
39339,0
11452,0
3693,0
11451,1
9441,1
3417,1
36960,1
41770,0
16453,0
11972,0
50003,1
23985,0
39727,0
2037,1
14375,1
19737,1
5109,1
39749,1
11308,1
6981,1
34727,0
37298,0
21721,1
36157,1
44732,1
12439,1
43355,1
14121,0
15603,0
38760,0
7288,1
47734,0
5084,1
8251,0
38310,0
11586,0
16524,1
36366,1
12694,1
13886,0
51562,1
8022,1
12064,1
18676,1
38355,0
4747,1
14546,1
11984,0
38263,1
4725,1
8993,1
33997,1
17445,1
11813,0
35402,1
33869,1
24762,1
37515,1
11039,1
18583,1
96,1
11584,1
51984,1
35116,0
49120,1
28660,0
17012,1
47869,1
29808,1
24111,0
24949,1
5098,1
2018,1
39177,1
7898,0
33867,1
27582,0
23037,1
31444,1
2391,1
10087,1
6048,1
23945,1
32357,0
45761,0
16948,0
13023,0
15407,0
31785,0
27087,1
14947,0
42690,0
18663,1
23428,0
48584,1
21946,0
36829,0
27503,0
7545,0
3638,0
17127,1
15435,0
47172,1
40003,0
17026,1
36581,0
47107,0
2074,1
4343,1
30781,1
17748,1
16363,0
8589,1
30268,0
14850,1
43469,0
32203,0
2926,0
17196,0
50538,0
40707,1
16526,1
24373,1
31731,0
30135,1
50778,1
47157,0
26584,0
7122,0
38642,1
21555,0
28661,0
848,1
1303,1
36445,1
49826,1
16586,0
22175,0
30480,0
34152,1
10028,1
3373,0
9125,1
5049,0
2126,0
25373,1
49736,1
44988,0
47461,0
36717,0
15911,0
10071,0
13530,1
52339,1
45356,0
29898,1
21401,0
46820,1
35006,0
35932,0
2505,1
44405,1
2398,0
35555,0
27318,1
14516,0
1524,1
58,0
12923,1
35001,0
7164,0
13169,0
186,1
22716,1
16621,1
2986,0
31508,0
26866,1
8035,1
22196,1
13716,0
50273,1
47264,0
51249,1
12000,1
21431,0
28466,0
47904,1
969,0
25512,0
48465,0
45392,1
4016,0
41135,1
30584,0
816,1
34138,1
15608,0
37766,1
10425,1
38603,1
39965,1
15071,0
40008,0
15174,1
1188,1
27907,1
45090,0
2720,0
17577,0
1904,1
12605,1
40334,0
38717,0
4432,1
34779,1
42460,0
36899,0
14244,0
4817,0
42637,1
35648,1
22137,0
14833,1
795,1
16980,1
13949,1
38222,1
24670,1
24497,0
34156,0
18351,0
51571,1
10381,1
50614,0
27052,1
17220,1
7079,1
24177,0
1312,1
2500,0
37018,1
50544,0
34233,0
50362,0
4117,1
7919,1
46543,1
33939,0
85,1
24295,1
41796,0
26222,1
15036,0
7516,0
26549,1
22257,0
42551,0
51101,0
17157,0
25996,1
27673,0
15522,1
17346,0
48206,1
48598,1
15969,1
20656,0
8179,1
43963,0
17301,0
16766,0
30558,1
49385,0
13144,1
48181,0
33166,1
32647,0
10651,1
25496,1
47677,0
9577,1
29125,1
40854,0
48244,1
1909,0
38514,0
224,1
27879,1
4197,0
17047,0
13076,1
50596,0
3271,0
51794,0
540,1
1007,0
34444,0
8493,0
29250,1
39998,1
27740,0
13270,0
48014,0
12405,1
8901,0
37311,1
50978,0
32229,1
21297,1
29403,0
1708,0
45682,1
35512,1
37429,1
546,1
41229,0
38814,0
14965,1
11671,0
17387,0
9509,0
49442,1
34807,1
48492,1
7883,1
1271,1
7758,0
27586,0
22217,0
32275,0
6542,0
42080,0
43025,0
27629,1
11971,0
4124,0
29771,0
9518,1
25463,0
4242,1
17561,1
38771,1
41341,1
41996,1
47659,1
5695,0
26232,1
5899,1
33,1
48117,1
4785,1
48433,0
40193,0
42974,0
25888,0
49874,1
45535,1
3894,0
10348,0
39875,1
49778,0
3423,1
48788,1
4311,1
17213,1
1316,1
25432,1
26483,0
31900,0
40563,0
13753,0
416,1
15415,1
14950,1
4028,1
41481,0
47315,1
15315,0
51378,0
8196,0
45266,1
24468,0
24494,1
16628,1
31808,0
17473,1
13311,1
35546,1
24848,1
1982,1
16319,1
48165,1
28832,1
6645,0
12131,1
11068,1
43762,0
25558,0
1838,0
3548,1
15461,1
6027,0
25672,1
10624,1
33628,1
11597,0
10106,1
14124,0
25779,1
32067,0
42093,0
11217,0
11900,0
22901,1
941,0
14068,0
41935,0
664,0
1440,1
34227,0
1571,1
2559,1
23812,0
42826,1
31802,1
37662,1
9807,1
36846,1
43838,1
16267,1
5375,0
7464,1
13883,1
49785,1
4328,1
16329,0
43287,0
45121,1
35695,0
16923,1
35850,1
27076,1
16254,0
32177,0
14693,1
29496,0
23825,0
13664,1
33212,0
17664,0
43627,1
34746,0
6997,0
44300,0
2008,0
12088,1
6568,0
42406,1
22492,1
47460,1
14104,0
50097,1
26033,1
7061,0
51140,0
3607,0
11982,0
35262,1
10060,1
2242,0
14377,0
17405,0
36189,0
47063,1
29692,1
19595,1
50278,0
29627,1
30699,1
45558,0
4784,1
49859,0
24797,0
33975,0
6642,1
41145,1
12450,1
44815,1
15685,0
31064,1
39971,1
4634,0
3597,1
29375,0
29484,0
35214,1
35102,0
23363,1
24930,1
10277,1
19470,0
9055,0
23096,1
33100,0
41158,0
21551,1
965,1
42109,0
16990,1
15736,0
11219,1
22061,1
44146,0
47272,1
34276,1
15231,1
429,1
23422,0
12451,0
13652,1
26812,0
51394,0
1646,1
29593,0
1742,1
5995,0
31625,1
1809,0
2277,0
48785,1
14874,1
45471,0
3366,1
26997,1
48263,1
51044,0
46066,1
44651,0
21836,0
9953,0
10729,1
12324,1
47247,1
10024,1
27741,1
17207,1
10718,0
39224,1
35133,0
52358,0
33823,1
44483,0
31706,1
18979,0
14055,1
14581,1
27237,0
16758,1
34935,0
19917,1
5469,1
21341,0
7667,1
46179,1
42767,1
9542,1
20458,1
9205,1
41060,1
31392,1
7120,1
35239,1
36274,1
51460,1
18524,0
42486,0
20500,0
37512,1
15538,1
49233,1
31593,0
13462,1
2563,1
21206,0
27479,1
371,1
41085,0
3931,1
37059,1
31831,1
50335,1
52330,1
43101,1
42899,1
4182,1
7426,1
43531,1
40491,0
22455,0
3173,1
21928,1
50433,1
16007,1
3862,1
43065,1
49797,0
49415,0
41488,1
38474,0
6574,1
50766,0
17780,1
17087,0
32806,0
23053,1
43729,1
26751,0
37645,1
51641,1
27550,0
37895,0
20505,0
48392,1
16659,0
9774,1
5327,1
34812,1
16049,0
17260,1
1146,1
36432,0
49921,0
4613,0
22926,0
14065,0
15670,1
17560,0
6229,0
47418,0
23801,1
16662,0
51731,0
38992,0
37323,0
19632,1
1552,0
27588,0
35760,1
13728,1
10186,1
3915,1
50480,1
41090,1
5218,1
23864,1
5418,1
333,1
23781,0
17900,0
10439,1
19178,0
37864,0
5293,0
556,1
45555,0
5655,0
36330,1
45328,0
29367,0
47625,0
45242,0
46411,1
43043,0
29910,0
11024,0
4479,0
15285,1
50439,1
43578,0
33277,0
15543,0
8950,1
32980,0
11025,0
10227,1
586,1
20161,1
45332,0
50368,0
38374,1
1854,1
31075,0
18834,0
5221,1
31134,1
39027,0
3365,1
10969,0
9757,1
18523,1
39989,0
17628,0
38734,1
46089,1
36284,1
10534,0
13178,0
51908,0
23770,0
34125,1
42333,1
29536,1
49837,0
36842,0
5151,1
43795,0
13545,1
12806,1
41765,1
13557,1
44907,1
22082,1
30593,1
38349,1
4712,1
16499,1
28146,0
18617,0
25423,1
17920,1
30477,1
14494,0
4257,1
16914,0
46176,1
34459,1
6705,0
31774,1
13341,0
50418,1
16548,1
29293,0
25848,1
7877,1
28010,0
16874,1
2823,0
50372,1
47836,0
40569,1
44593,0
17268,1
5505,1
26052,1
46143,0
12319,1
22580,0
19172,1
26210,1
27594,0
25610,0
10443,0
14930,1
15266,1
5550,1
36630,0
46381,1
42747,1
5775,1
12778,1
34673,1
4824,1
23602,0
50988,1
35198,1
29276,1
11768,1
29934,0
34763,0
17246,1
7119,1
15034,1
43034,0
17904,0
27056,0
52101,0
22667,1
29894,0
24843,0
43501,0
11641,1
6150,1
19233,1
24045,0
13039,0
37905,1
38159,0
31797,0
26953,0
41380,1
10853,0
35941,1
2582,0
41246,1
4689,0
5414,0
22136,1
22684,0
42497,0
23118,1
51919,0
1172,1
14062,1
13817,1
42041,0
6553,1
21968,0
13319,1
33214,0
16751,1
41092,1
12331,1
14424,1
39083,0
26965,0
7127,1
6210,1
16200,1
52059,1
23575,1
7419,1
18145,1
9203,1
43562,1
9014,1
46365,1
26332,0
4482,1
33527,1
45427,0
48851,1
14870,0
51173,0
19504,0
28302,0
28375,0
4940,1
38313,1
22322,0
20089,0
11080,0
673,0
49286,0
50460,1
49808,1
36370,1
47803,1
32781,0
37365,0
15112,0
33683,1
49863,1
35518,1
42215,0
30330,0
19081,0
349,0
38438,0
17607,0
13865,0
9333,0
6169,1
41263,0
26912,0
42273,1
45069,1
29735,0
29863,1
4544,0
31113,1
31925,1
48619,1
46101,0
11928,1
23390,1
4138,0
47942,1
3988,1
24232,0
14159,1
27500,1
29128,1
9065,1
17728,0
2421,1
29889,1
31609,1
43159,0
39921,1
22964,1
38682,0
31020,0
50625,1
10851,0
15349,1
32650,1
8686,0
756,1
2645,1
31268,1
48729,0
33398,1
47204,0
16994,0
51837,1
14279,1
28387,1
27956,0
27416,0
14441,1
32613,1
49786,1
8587,0
28426,0
44018,1
14390,1
14568,0
22193,1
2839,0
15341,1
30784,1
34313,1
47093,0
7187,0
41874,1
29263,0
35124,1
46775,0
8219,0
968,0
33955,0
35738,1
30311,0
35828,0
36767,1
39319,1
14133,1
44463,0
43532,1
27716,0
2299,1
12181,1
8079,1
3335,1
15117,1
9535,1
1360,1
11073,1
15659,0
25040,0
11663,0
1309,1
14849,1
10858,1
28516,0
8754,0
23546,1
9930,1
34976,1
20585,0
46751,1
13647,0
13610,1
17337,1
386,1
10571,0
8188,0
8646,1
45275,0
43500,0
28743,1
620,0
46504,0
24872,0
16607,1
9664,1
44434,0
11514,1
871,0
10773,1
30305,0
23939,0
22644,0
37649,0
3746,1
4158,1
41690,0
51811,1
49199,0
10977,1
12087,1
28507,1
10633,0
10687,1
29575,0
10563,0
21579,0
6740,1
6519,1
2278,1
13472,1
33917,0
7732,0
33504,0
15215,0
47665,0
14416,0
46461,1
19165,1
20958,0
26338,1
15574,1
10963,0
24747,1
17669,0
49577,0
39261,0
47554,1
42324,1
22161,1
3913,0
16266,1
42531,0
24723,1
12609,1
5303,0
42754,1
7577,1
45781,1
11443,1
42115,0
50471,0
39038,1
25074,0
36648,0
17737,1
16239,1
7427,0
4966,0
31566,0
23007,0
25024,0
40623,1
13359,1
26645,1
48092,1
25370,0
7597,0
18755,0
16964,0
42026,0
22352,0
7031,1
44030,1
51673,1
3797,1
40784,0
35451,0
6558,1
13651,1
48390,1
6914,1
16059,0
9778,1
18480,1
34592,0
36585,0
30734,0
18578,0
33544,0
52362,1
29729,0
11778,0
51295,1
51215,1
44500,1
4575,1
15860,1
6473,0
39576,0
26043,0
22279,1
30768,1
13404,1
6657,1
24143,0
14847,1
32361,0
21071,0
6334,0
17226,1
810,0
35528,1
43520,0
48656,1
10151,0
26642,0
4360,1
49138,1
46715,0
22802,1
31622,1
47360,1
6040,0
3504,0
44948,1
18829,0
25161,1
34302,1
41159,0
17259,1
5882,0
260,0
40026,0
28160,0
48722,1
44130,1
12274,1
46654,1
27791,0
14365,0
21785,1
3102,1
35464,0
42261,0
21658,1
26342,0
45872,1
9972,1
11961,1
51587,1
16417,1
49522,1
37082,0
41038,0
1555,1
40710,1
104,1
14939,1
43885,0
1764,1
39508,0
8053,1
1068,0
5887,1
41048,1
47616,1
266,1
2870,0
44553,0
4322,0
48611,0
17148,0
41153,1
20104,1
9130,1
45985,1
51583,1
27121,0
35457,1
33455,0
10147,0
39512,0
24487,0
16845,1
50031,1
39180,1
14745,0
22403,1
34094,1
4486,1
37834,0
30316,0
12330,1
10461,1
12892,0
9974,1
47556,1
41072,0
3976,1
15597,1
42871,1
44458,0
13755,1
45798,1
7636,1
18244,0
1336,1
28230,0
20591,1
26023,1
48479,1
36374,0
9539,1
5684,1
1320,0
36505,1
26475,1
50407,0
3189,0
6220,1
41970,1
16353,0
16117,1
33564,0
1483,1
12585,0
5471,0
32310,0
26106,0
41651,1
6898,1
52256,0
15653,1
8010,0
39901,1
16184,1
31088,1
45198,1
4313,1
11065,0
40161,0
31539,1
15384,0
39758,0
7754,1
5764,1
9900,1
45926,0
32298,1
5230,0
35439,1
41365,1
1325,1
20960,0
16855,1
17573,1
26839,1
43207,0
50219,1
7568,1
34797,0
33009,1
24854,0
3849,0
7699,1
29296,1
11962,1
14599,0
50641,1
14421,1
51692,0
17021,0
30513,0
22313,1
40113,1
39192,0
51184,1
41438,1
40529,1
21182,0
29382,0
15640,1
20936,1
948,0
48812,0
1166,0
3419,0
12051,0
38872,1
44024,0
32007,1
41979,1
5249,0
47130,0
22255,0
17227,1
12270,0
38119,1
32954,1
9234,0
8190,1
14661,0
16205,0
52283,1
35417,0
9,1
38811,1
7839,1
9875,0
5052,0
41307,0
16736,0
32068,1
17644,0
44893,1
33363,0
47041,0
41302,0
33045,1
45694,1
10232,1
3053,1
335,0
49404,1
26088,1
16942,1
7115,0
28511,1
46742,1
2995,1
29650,1
7293,0
16372,1
27273,0
3230,1
46020,1
12047,0
31196,1
8023,0
17510,0
33697,1
12669,0
24519,0
6447,1
8804,0
15570,1
49269,1
6131,1
34384,0
49292,1
33186,1
11519,1
10013,0
6690,1
25085,0
28319,0
13911,1
10719,1
45584,1
46529,0
31428,1
50024,0
43217,0
40217,1
51047,1
6909,0
43369,1
23551,1
3803,1
2467,1
37641,0
49515,1
17067,1
36412,1
6622,1
43094,1
16097,1
28632,0
49284,1
35963,0
40271,0
44611,0
30988,0
8543,0
45409,1
51169,0
18207,0
47658,1
29725,0
13874,0
28742,0
44417,0
10184,0
8211,0
16729,0
15223,1
996,1
28075,0
4185,1
19262,1
48264,1
7628,0
1424,1
3329,0
29106,0
20614,0
5952,1
20423,1
42892,1
2985,1
17469,0
27501,0
37047,1
38011,0
13045,1
41602,1
9952,1
45241,1
20817,0
13684,0
45056,1
31793,0
6140,0
23959,0
4091,1
12101,1
28746,1
30494,0
29253,0
2402,1
5645,1
19789,0
19507,0
3301,1
36971,0
12234,1
11898,1
13946,0
11193,1
11003,1
4017,1
15662,1
47242,0
14635,1
7855,1
17651,1
37201,0
24622,0
24103,0
22462,1
27239,1
39738,0
17947,0
37257,1
6853,1
16763,0
49126,1
45776,0
47398,1
47119,0
11378,0
51062,0
4553,0
50449,0
29701,0
7350,1
27962,1
4398,1
16155,0
26830,0
51987,1
28484,0
9122,1
34685,1
28142,1
23222,0
50659,1
23615,1
42800,0
50964,1
12420,1
5100,1
14827,0
34338,0
3984,0
40552,1
48033,0
31331,1
51512,1
6108,0
3903,1
35344,1
14842,1
9473,0
48342,1
1154,1
24754,0
26848,1
51274,1
19215,0
26190,1
33687,1
34715,1
40068,0
10989,1
1279,1
22380,1
3161,0
10580,1
49487,1
30970,0
34464,1
25495,1
37288,0
39068,0
51693,1
48742,1
41843,0
41003,0
21561,1
48528,1
35865,0
14089,1
40535,0
10698,0
51803,1
16270,1
7574,0
8937,0
1958,0
306,0
14313,1
12328,1
49918,0
11393,0
39873,0
28039,0
16046,0
28362,1
41493,1
5537,0
12507,1
29733,0
44211,1
13221,0
48430,1
2691,1
2197,0
20409,1
3073,1
37162,1
15040,1
39207,1
49981,1
47487,0
12770,0
16412,0
34933,0
25397,0
23647,0
40164,1
47500,0
11832,1
50773,0
39494,1
50124,1
3023,1
8140,0
16148,0
45780,0
31960,0
20810,1
29583,0
26093,0
1790,0
22542,0
6771,0
35039,0
17286,1
48163,1
43799,1
48245,0
46728,1
38968,1
26048,0
14931,1
25953,1
41565,1
24960,1
30875,0
38673,1
4141,0
45084,1
12378,0
7527,0
31918,0
31277,0
50952,0
17391,0
15936,1
22544,1
48986,0
32060,1
15829,0
41801,1
11157,0
32922,0
51676,0
1464,1
39653,0
22702,1
49898,1
454,0
16026,0
9099,0
34053,1
10551,1
31247,0
24470,1
29001,0
1878,1
30605,1
593,0
14531,0
39010,0
41759,0
26725,0
39099,0
48537,1
16832,0
2655,1
17013,1
40898,0
49331,0
14943,1
21043,1
38923,1
39445,0
9440,1
45827,0
14253,1
1858,0
49393,0
43718,0
36868,1
30230,0
4882,1
46498,0
14731,1
21370,1
2585,1
45853,0
2930,1
46408,1
14278,0
14993,1
33454,0
47369,1
14489,0
47704,1
15150,0
49820,0
19276,1
44521,1
26719,1
30219,0
13234,0
31263,1
47806,1
2054,0
8775,0
16492,0
27632,1
49803,1
42196,1
30008,0
35844,1
47318,0
22601,0
5858,0
34600,1
6803,0
6504,0
22991,0
3449,0
46555,1
17888,0
27745,1
20706,1
36041,1
30765,0
5878,1
11064,0
43453,0
9752,1
13841,0
3107,0
48783,0
12441,1
18051,0
10574,1
44512,1
25355,1
563,1
16602,1
16762,1
4464,1
32133,1
22220,1
2671,1
9854,1
46064,0
40049,1
42935,1
49089,1
48196,1
18425,1
14725,1
51153,1
39138,1
42771,1
47721,0
9132,1
51376,1
26138,1
31148,0
14147,1
13284,1
11926,0
16932,0
33241,1
45778,1
9612,0
31147,0
27569,0
45410,0
42595,0
10115,1
5571,1
10990,0
48704,0
50566,0
47470,0
30790,1
2112,0
30860,1
1870,0
41235,1
7463,1
4422,1
24883,1
5870,1
2890,1
42805,0
9906,0
11385,1
33031,0
1498,1
21959,1
11769,1
26942,1
14615,0
5430,0
35660,1
8724,0
15650,1
42404,1
21459,0
8449,0
21244,0
36686,1
14103,0
5706,0
37136,0
13137,1
37151,0
44124,1
26682,1
13143,0
31177,1
50974,1
37780,0
33613,1
21237,1
41621,0
293,1
36747,0
3857,1
17297,0
6057,0
25049,0
4051,0
29631,1
37221,0
50562,1
6411,0
31595,0
36935,1
9255,0
10174,1
19260,0
1208,1
50732,0
12780,1
38221,1
2522,1
8141,1
14466,0
27227,0
29384,0
22208,0
29419,1
34792,0
2113,1
38049,1
3588,1
46620,1
5769,0
34707,0
43129,1
19332,1
2409,1
46652,0
52189,0
51193,0
39128,1
15146,0
30080,0
9468,1
16373,0
49662,0
28288,1
20938,0
27618,0
4175,1
51360,1
50440,1
8778,1
20317,1
7408,1
51799,1
541,1
3933,0
24680,1
643,1
6403,1
4126,1
32428,0
36557,1
10956,1
29279,0
42142,0
9982,0
38764,1
49021,0
16320,1
39658,1
35100,1
4935,1
51060,0
5400,0
51960,0
31231,0
47628,0
3600,0
9763,1
44403,1
18853,0
38463,0
47812,1
37491,1
49973,0
8494,1
8514,1
19453,1
11924,0
39622,0
1711,1
42768,0
18972,0
8641,0
6445,1
19731,0
29676,0
4408,1
13539,0
45310,0
41399,0
9761,1
7692,1
50520,1
8372,1
11736,0
47240,1
3392,0
40538,1
31348,1
748,0
50959,0
35109,0
29644,1
51910,0
699,0
9911,1
15228,1
43438,0
7948,0
38045,1
48429,1
13369,1
20265,1
47316,0
47805,0
14167,1
6896,0
1782,1
8051,0
32116,0
9960,1
45939,0
1400,1
45437,1
9003,0
732,0
3341,1
5750,1
46651,0
27765,1
8230,1
46309,1
8518,1
46258,1
46980,0
49462,1
21816,1
10638,0
38597,0
15327,1
16566,1
25486,1
12593,1
10760,0
21083,1
5914,1
39874,1
50797,1
20117,1
381,1
49665,0
34964,1
13173,0
31057,1
9264,1
18600,0
26872,1
3801,0
23164,1
5892,1
17345,1
19272,1
46894,0
51441,1
36564,1
24994,1
23905,1
28592,1
31131,1
46449,0
23808,1
217,0
20281,1
17712,0
47492,0
46986,0
15710,1
1999,1
33301,0
1115,0
30648,1
2271,1
36996,0
50580,1
28600,1
51530,1
42420,0
48881,0
48153,1
31436,0
33332,1
39421,1
19391,1
31237,1
44045,1
6174,0
37027,0
46111,1
7178,0
48122,1
